src,dest,mn_weight
2OXOADPTm,EHGLATm,104.23809523809524
2OXOADPTm,ICDHxm,104.23809523809524
2OXOADPTm,ICDHyr,248.2
2OXOADPTm,ICDHym,104.23809523809524
2OXOADPTm,ILETA,248.2
2OXOADPTm,ILETAm,104.23809523809524
2OXOADPTm,KYNAKGAT,248.2
2OXOADPTm,LCYSTAT,248.2
2OXOADPTm,LCYSTATm,104.23809523809524
2OXOADPTm,LEUTA,248.2
2OXOADPTm,LEUTAm,104.23809523809524
2OXOADPTm,ORNTArm,104.23809523809524
2OXOADPTm,PCLYSOX,248.2
2OXOADPTm,PHETA1,248.2
2OXOADPTm,PHETA1m,104.23809523809524
2OXOADPTm,PSERT,248.2
2OXOADPTm,SACCD3m,104.23809523809524
2OXOADPTm,TMLYSOX,248.2
2OXOADPTm,TYRTA,248.2
2OXOADPTm,TYRTAim,104.23809523809524
2OXOADPTm,VALTA,248.2
2OXOADPTm,VALTAim,104.23809523809524
34DHPHAMT,34DHPHAMT,6038.231234866828
34DHALDD,34DHPHAMT,2078.850282485876
34DHPHAMT,34DHPLACOX_NADP,2078.850282485876
34DHPHAMT,3M4HDXPAC,3113.0169491525426
34DHPHAMT,ADMDC,424.183615819209
34DHPHAMT,AHCi,443.21428571428567
34DHPHAMT,AMETt2m,856.8809523809523
34DHPHAMT,DOPAMT,867.3979015334946
34DHPHAMT,GACMTRc,867.3979015334946
34DHPHAMT,GNMT,867.3979015334946
34DHPHAMT,METAT,413.6666666666666
34DHPHAMT,NNMT,856.8809523809523
34DHPHAMT,NORANMT,867.3979015334946
34DHPHAMT,SALMCOM,867.3979015334946
34DHPHAMT,SALMCOM2,867.3979015334946
34DHPHAMT,SAMHISTA,867.3979015334946
34DHPHAMT,SRTNMTX,867.3979015334946
34DHALDD,34DHALDD,4147.183615819209
34DHALDD,34DHPLACOX_NADP,4147.183615819209
34DHALDD,42A12BOOX,2068.333333333333
34DHPLACOX_NADP,34DHPLACOX_NADP,4147.183615819209
34DHPLACOX_NADP,42A12BOOX,2068.333333333333
34DHXMANDACOX,34DHXMANDACOX,4664.266949152542
34DHXMANDACOX,34DHXMANDACOX_NADP,4664.266949152542
34DHXMANDACOX,41R1H2MAE12BOOX,1551.25
34DHXMANDACOX,41R2A1H12BOOX,1551.25
34DHXMANDACOX_NADP,34DHXMANDACOX_NADP,4664.266949152542
34DHXMANDACOX_NADP,41R1H2MAE12BOOX,1551.25
34DHXMANDACOX_NADP,41R2A1H12BOOX,1551.25
34HPPOR,34HPPOR,6205.0
34HPPOR,HGNTOR,3102.5
34HPPOR,TYRTA,3102.5
3AIBTm,3AIBTm,1709.5047619047618
3AIBTm,3SALATAim,177.20476190476188
3AIBTm,ABTArm,177.20476190476188
3AIBTm,ACGSm,72.96666666666667
3AIBTm,AKGDm,104.23809523809524
3AIBTm,AKGMALtm,104.23809523809524
3AIBTm,APAT2rm,177.20476190476188
3AIBTm,ASPGLUm,72.96666666666667
3AIBTm,ASPTAm,177.20476190476188
3AIBTm,CYSTAm,177.20476190476188
3AIBTm,EHGLATm,177.20476190476188
3AIBTm,FPGS2m,72.96666666666667
3AIBTm,FPGS3m,72.96666666666667
3AIBTm,FPGS4m,72.96666666666667
3AIBTm,FPGS5m,72.96666666666667
3AIBTm,FPGS6m,72.96666666666667
3AIBTm,FPGS7m,72.96666666666667
3AIBTm,FPGS8m,72.96666666666667
3AIBTm,FPGS9m,72.96666666666667
3AIBTm,FPGSm,72.96666666666667
3AIBTm,GLU5Km,72.96666666666667
3AIBTm,GLUNm,72.96666666666667
3AIBTm,GLUt2m,72.96666666666667
3AIBTm,HIBDm,437.8
3AIBTm,ICDHxm,104.23809523809524
3AIBTm,ICDHym,104.23809523809524
3AIBTm,ILETAm,177.20476190476188
3AIBTm,LCYSTATm,177.20476190476188
3AIBTm,LEUTAm,177.20476190476188
3AIBTm,MMSAD1m,437.8
3AIBTm,ORNTArm,177.20476190476188
3AIBTm,P5CDm,72.96666666666667
3AIBTm,PHETA1m,177.20476190476188
3AIBTm,SACCD3m,104.23809523809524
3AIBTm,SACCD4m,72.96666666666667
3AIBTm,TYRTAim,177.20476190476188
3AIBTm,VALTAim,177.20476190476188
3DSPHR,3DSPHR,4664.266949152543
3DSPHR,SERPT,3113.0169491525426
3DSPHR,SLCBK1,1561.7669491525423
3HAO,3HAO,5181.350282485876
3HAO,HKYNH,3102.5
3HAO,PCLAD,2078.850282485876
3HBCDm,3HBCDm,2736.25
3HBCDm,ACOAD1fm,547.25
3HBCDm,ECOAH1m,547.25
3HBCDm,GLUTCOADHm,547.25
3HKYNAKGAT,3HKYNAKGAT,8136.471276595745
3HKYNAKGAT,3HXKYNDCL,1551.25
3HKYNAKGAT,3SALATAi,380.2212765957447
3HKYNAKGAT,AATA,380.2212765957447
3HKYNAKGAT,AKGMALtm,248.2
3HKYNAKGAT,AKGt4_3,248.2
3HKYNAKGAT,ALATA_L,380.2212765957447
3HKYNAKGAT,ASNS1,132.02127659574467
3HKYNAKGAT,ASPGLUm,132.02127659574467
3HKYNAKGAT,ASPTA,380.2212765957447
3HKYNAKGAT,BBHOX,248.2
3HKYNAKGAT,CBPS,132.02127659574467
