gene,LJP005_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h,LJP005_HA1E_24H_G14___HA1E___withaferin-a___3_33_um___24_h,LJP005_HA1E_24H_G15___HA1E___withaferin-a___1_11_um___24_h,LJP005_HA1E_24H_G16___HA1E___withaferin-a___0_37_um___24_h,LJP005_HA1E_24H_G17___HA1E___withaferin-a___0_12_um___24_h,LJP005_HA1E_24H_G18___HA1E___withaferin-a___0_04_um___24_h,LJP006_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h,LJP006_HA1E_24H_G14___HA1E___withaferin-a___3_33_um___24_h,LJP006_HA1E_24H_G15___HA1E___withaferin-a___1_11_um___24_h,LJP006_HA1E_24H_G16___HA1E___withaferin-a___0_37_um___24_h,LJP006_HA1E_24H_G17___HA1E___withaferin-a___0_12_um___24_h,LJP006_HA1E_24H_G18___HA1E___withaferin-a___0_04_um___24_h
DDR1,2.5699214935302734,1.2128417491912842,-0.5767373442649841,-0.9375945925712585,-0.9268977046012878,0.31911444664001465,1.6703848838806152,-0.26531726121902466,-1.0399500131607056,-0.4733046293258667,-0.17597238719463348,-0.6464035511016846
PAX8,-1.8374079465866089,-0.02271471917629242,-0.8109058141708374,0.0750378891825676,0.1958107352256775,-0.024668455123901367,-2.1405282020568848,-0.03574982285499573,1.2689000368118286,1.155532956123352,-0.05990317463874817,0.04086693376302719
GUCA1A,4.671906471252441,2.4576706886291504,0.9036416411399841,0.2208244502544403,0.256482869386673,1.1278932094573975,7.237607955932617,3.666876792907715,-0.633650004863739,-0.44937264919281006,-0.09853839874267578,-0.2090558111667633
EPHB3,-0.1375199407339096,-0.04230663180351257,0.5062261819839478,0.09871426224708557,0.0712694525718689,1.1148366928100586,1.7792872190475464,-0.17516225576400757,0.08184999972581863,-0.18003107607364655,0.22387123107910156,0.9795689582824707
ESRRA,2.480813503265381,1.6596863269805908,0.08545126020908356,0.38571563363075256,-0.08580134809017181,-0.1170383021235466,4.070647239685059,1.9221484661102295,0.014200001955032349,-0.7356579303741455,0.06109905242919922,-0.53226637840271
TRADD,1.8993569612503052,1.2235645055770874,0.38523828983306885,0.4872162342071533,0.34502655267715454,0.044861093163490295,2.8168725967407227,1.039062738418579,1.149049997329712,0.726229190826416,-0.3944949805736542,0.04997294023633003
PRPF8,-0.5635231733322144,-1.8095626831054688,-0.8311583995819092,-0.773411214351654,-1.3794584274291992,-0.06536142528057098,-0.30893272161483765,-1.7078396081924438,-1.3367500305175781,-0.00990016758441925,-0.1994888186454773,-0.7108546495437622
CAPNS1,-2.810732364654541,-1.4358806610107422,-1.0104339122772217,-0.012139976024627686,0.3159140944480896,-0.5991010665893555,-4.690479278564453,-1.0184125900268555,-2.4742000102996826,0.06061801314353943,-0.08746618032455444,0.3764829635620117
RPL35,-0.4712514877319336,0.4597296714782715,-0.7782692313194275,-0.10771363973617554,0.6927158832550049,-0.22432641685009003,-0.7430848479270935,0.226626455783844,-0.35145002603530884,0.8710470795631409,-0.07560175657272339,-0.38249894976615906
RPL28,-1.3465710878372192,0.1811031997203827,-0.05038968846201897,0.21617993712425232,0.18952533602714539,0.10993481427431107,-1.0258949995040894,-0.0030204951763153076,0.0670500099658966,0.33744415640830994,0.8292971253395081,-1.0536580085754395
EIF4G2,-2.453927993774414,-0.8117897510528564,0.697248637676239,0.630609393119812,0.7065253257751465,-0.6125589609146118,-3.766580104827881,-1.7531425952911377,-0.12525001168251038,0.5813931822776794,0.6190380454063416,0.24477797746658325
EIF3D,-0.24178792536258698,0.06526196002960205,-0.13141471147537231,0.5513885021209717,0.0272599458694458,0.6081125140190125,-0.6384840607643127,1.1423107385635376,0.685949981212616,-0.4753056764602661,-0.4939812421798706,-0.4544067680835724
PARK7,-1.4232815504074097,1.8435455560684204,-0.09253289550542831,-0.47964876890182495,0.36513176560401917,1.0457053184509277,-2.3520777225494385,0.8273144960403442,-1.0564000606536865,0.21885837614536285,0.944105327129364,-0.1974802315235138
SRP14,-0.41625016927719116,1.1346861124038696,-0.6773146390914917,-1.1524285078048706,0.6035272479057312,0.4070243239402771,-2.5129053592681885,-0.07427123188972473,0.507099986076355,-0.31101441383361816,0.39148327708244324,-0.4139440357685089
GDI2,-2.899688720703125,-0.24310100078582764,-1.201187014579773,0.061617881059646606,1.2341951131820679,0.9747488498687744,-4.778317928314209,-1.7574188709259033,-0.09039999544620514,0.4464088976383209,0.012203022837638855,0.2311197966337204
RPL11,-3.111482620239258,-1.2411741018295288,-1.1698888540267944,0.32225364446640015,0.07766188681125641,0.3560587465763092,-3.3761146068573,-1.7902849912643433,-0.6142500042915344,0.7762484550476074,0.9971334934234619,-1.096874713897705
RPL21,-1.2403799295425415,-0.22671231627464294,-0.6882884502410889,0.06278923153877258,-0.0014818757772445679,0.2906409502029419,-1.7805575132369995,0.1485045850276947,0.3138999938964844,-0.31641530990600586,-0.014532744884490967,0.055228110402822495
RPL24,-1.7560169696807861,0.34088289737701416,-0.7241107821464539,0.3216314911842346,0.30423736572265625,0.6867802143096924,-0.9706445336341858,0.8884358406066895,0.23315000534057617,0.28245070576667786,0.4624156355857849,-0.8730538487434387
SEPT2,-6.066714763641357,-3.6794893741607666,-0.4904126822948456,0.19360356032848358,0.8722743391990662,0.4774657189846039,-7.842616081237793,-3.391772508621216,-1.3948498964309692,-0.18621599674224854,-0.126964271068573,0.1367720365524292
RPS27A,-1.7348085641860962,0.04972994327545166,0.22383959591388702,0.16683533787727356,0.41337519884109497,0.7983295917510986,-1.7904361486434937,-0.267661988735199,0.5268499851226807,-0.018332570791244507,-0.058813631534576416,-0.3320951759815216
RPS13,-1.898930549621582,-0.3891562819480896,0.08383534103631973,0.43957749009132385,-0.10335715115070343,-0.19610483944416046,-2.39357328414917,0.13674059510231018,0.6620999574661255,0.028146088123321533,0.06741191446781158,-0.06174299120903015
FAU,-1.1707512140274048,0.37899789214134216,-0.06932863593101501,0.5266897678375244,-0.547767162322998,-0.5739744305610657,-0.568550705909729,1.4382930994033813,-0.6819000244140625,-1.0167421102523804,-0.3576374650001526,-1.2292331457138062
CFL1,-2.1953346729278564,-1.35927152633667,-1.2462778091430664,-0.6979969143867493,-0.2320142686367035,0.2332490235567093,-4.170672416687012,-0.313135027885437,-0.18424999713897705,-0.5974862575531006,-0.32587265968322754,0.3420034646987915
RPL18,-2.121526002883911,-0.39436453580856323,-0.09143812954425812,0.3337208926677704,0.3221835792064667,0.008819840848445892,-1.0004643201828003,0.2915705144405365,-0.29089999198913574,0.06339351832866669,-0.10816788673400879,-0.7104920148849487
EIF3F,-1.2614911794662476,-0.2640792429447174,-0.7746081352233887,-0.3748353123664856,-0.4440457820892334,-0.3128907382488251,-2.2204461097717285,-0.5643612742424011,-0.6000500321388245,-0.4267272353172302,-0.4948927164077759,0.0167466402053833
RPS5,0.7066582441329956,0.48037004470825195,-0.8210572004318237,-0.014331333339214325,0.7042885422706604,-0.011334884911775589,2.3078582286834717,0.8722715377807617,-0.6752499938011169,-0.3665071725845337,0.3635583221912384,-0.4925087094306946
RPL27,-1.7248095273971558,-0.2391359806060791,-0.19349993765354156,0.0655413269996643,-0.28608793020248413,0.20330874621868134,-2.462611675262451,0.709585964679718,0.12205000221729279,-0.18932758271694183,-0.34516674280166626,-0.07073979824781418
RPL34,-1.4562597274780273,0.0502392053604126,-0.3525519371032715,-0.33246415853500366,-0.4627414345741272,-0.0562824010848999,-2.2380597591400146,0.43178290128707886,0.04614999145269394,0.43336689472198486,-0.2527540922164917,0.1310950666666031
NARS,-0.5966064929962158,0.13809329271316528,-0.2898300886154175,-0.28979358077049255,0.21828845143318176,0.22712168097496033,-1.3432596921920776,0.0993792712688446,1.923449993133545,0.41464683413505554,0.8552595376968384,-0.03555486351251602
STARD7,0.7116684913635254,0.2707902193069458,1.092344045639038,-0.4496118426322937,-0.013980567455291748,-0.09303617477416992,0.2888055443763733,0.007373422384262085,0.7853000164031982,0.559418797492981,0.6578758955001831,-0.8183337450027466
RPL19,-2.226074695587158,4.3487548828125e-4,-0.8131327033042908,-0.07276183366775513,-0.19376154243946075,0.014712780714035034,-2.015836238861084,0.1891385018825531,-0.06910000741481781,-0.9785538911819458,-0.3074818253517151,0.3485986590385437
SLC25A3,-2.0086464881896973,-0.19294807314872742,-0.983343780040741,-0.9293427467346191,0.002416461706161499,0.38129550218582153,-3.7374420166015625,-0.024951711297035217,-0.5971500277519226,-0.5107665657997131,0.027522370219230652,-0.2900226414203644
RPS11,-1.4873912334442139,0.13719499111175537,0.37730640172958374,0.3017883896827698,-0.143185555934906,0.14549411833286285,-0.6684464812278748,1.3382794857025146,0.09149999916553497,-0.30620768666267395,-0.5365204811096191,-0.023813605308532715
RPL9,-0.9243999123573303,0.2244936227798462,-0.344022274017334,-0.29273247718811035,-0.10746916383504868,0.24874328076839447,-1.3127312660217285,1.266524076461792,-0.02879999577999115,0.0718727558851242,-0.25246959924697876,-0.36185216903686523
DDX5,-2.6571125984191895,-1.268784999847412,-0.014401819556951523,0.37626558542251587,0.5671643018722534,-0.115587517619133,-3.9548497200012207,-3.1152305603027344,-1.1527999639511108,-0.35959097743034363,0.07725009322166443,-0.17721149325370789
RPL6,-1.903334379196167,-0.06639969348907471,0.08219951391220093,0.6193814873695374,0.19299198687076569,0.6178367137908936,-2.1104938983917236,-0.2388921082019806,0.9473999738693237,0.18927563726902008,0.16600669920444489,-0.35254567861557007
CTDNEP1,-0.9099961519241333,-0.9403384923934937,-1.7289087772369385,-0.24410313367843628,0.15960869193077087,-0.35036104917526245,-2.214841365814209,-0.14980237185955048,-1.0197999477386475,-0.4093897342681885,-0.5068051815032959,0.11840826272964478
RPL10A,0.36038368940353394,1.4148449897766113,-1.2279706001281738,0.35132479667663574,0.46303054690361023,0.2130507528781891,1.4983083009719849,1.2567849159240723,-0.9406999945640564,-0.48310497403144836,-0.8708591461181641,-0.43515557050704956
CBX3,-1.2228522300720215,-1.1961307525634766,-0.21551209688186646,0.44162094593048096,0.1275586485862732,-0.26491934061050415,-1.153958797454834,-1.6483967304229736,-1.412000060081482,-0.08069780468940735,0.1458466351032257,-0.0932721197605133
PSMB2,-0.3393639326095581,0.7473189234733582,1.2661142349243164,0.7591511011123657,-0.3040257394313812,-0.32058292627334595,-1.481293797492981,1.1257221698760986,1.9289000034332275,0.38890010118484497,1.014246940612793,-0.40633314847946167
KHDRBS1,-3.490879535675049,-2.0637454986572266,-0.8105076551437378,0.5001428127288818,-0.06585689634084702,-0.019798144698143005,-5.545746803283691,-2.773646593093872,-1.8584001064300537,-0.4510664939880371,-0.1518659144639969,0.4047042727470398
RTCB,-2.2962751388549805,-1.1899603605270386,1.8282803297042847,1.3914151191711426,0.8676729798316956,0.7257195711135864,-2.961214303970337,-0.9952512979507446,1.509950041770935,0.31244999170303345,-0.04322568699717522,0.03812045603990555
ERH,-2.3071110248565674,-0.33747875690460205,0.14813965559005737,0.012774050235748291,0.6375952363014221,0.8485620617866516,-1.4536606073379517,-0.3851407468318939,0.8804500102996826,0.49773141741752625,-0.27168476581573486,-0.06817443668842316
ABCF1,3.768589973449707,2.062425136566162,3.2595725059509277,-0.7579342722892761,0.07357469201087952,0.3410675525665283,5.818445205688477,2.8083996772766113,1.663599967956543,-0.03411750867962837,0.049753207713365555,-0.18504615128040314
DAD1,-2.521639347076416,-2.1959502696990967,-0.5548715591430664,0.014490023255348206,0.6874468326568604,0.6849475502967834,-4.036011219024658,-1.5673696994781494,0.6177499890327454,0.7036601305007935,0.6487718820571899,-0.3585435152053833
KAT7,-1.0947062969207764,-0.49057525396347046,0.5030500888824463,1.1247377395629883,-0.4752536416053772,-0.15781989693641663,-1.0166994333267212,-0.5641778707504272,0.553600013256073,-0.24922427535057068,-0.29781246185302734,0.018177561461925507
ZNF146,-2.9924983978271484,-1.4326854944229126,-0.45552965998649597,0.9034574627876282,-0.21742616593837738,-0.4919145107269287,-5.2055816650390625,-2.203299045562744,-1.4010499715805054,0.026863299310207367,0.19863185286521912,-0.08219797909259796
SART1,0.8042038679122925,-0.20495617389678955,1.7072973251342773,-0.6735605001449585,-1.6212708950042725,-0.41590362787246704,1.857375144958496,1.5147556066513062,-0.3566499948501587,-1.7286369800567627,-0.8926857113838196,-0.36536315083503723
ILF2,0.5712088942527771,0.5106037259101868,-0.9468591213226318,0.1778021901845932,0.7760788798332214,0.4847986698150635,1.2474679946899414,1.3479349613189697,-2.532899856567383,-0.3387620747089386,-0.16299059987068176,0.261275976896286
SPAG7,0.45025184750556946,0.22471769154071808,0.15158945322036743,-0.6737079620361328,-0.7995387315750122,-1.3057935237884521,1.2623507976531982,1.0767048597335815,0.3450999855995178,-0.5733416676521301,-0.8509222865104675,-0.4982079267501831
ZPR1,0.2658587396144867,-0.2778346538543701,1.4528272151947021,-0.022236332297325134,0.4372030794620514,-0.5484583377838135,-0.2467310130596161,-0.33171766996383667,1.2583000659942627,0.3841114640235901,-0.04652106761932373,-0.3553408980369568
TAF10,-0.8256220817565918,-0.6370089650154114,0.09862898290157318,0.309650719165802,0.30235618352890015,-0.674987256526947,-2.8058900833129883,-0.601887047290802,-0.1314999908208847,-0.494577556848526,-0.6889668703079224,0.3299652934074402
C1D,-0.24294114112854004,-0.0477619469165802,-0.44983136653900146,-0.05862481892108917,0.3324371874332428,-0.24987351894378662,-0.6263848543167114,0.1809752881526947,-0.07689999788999557,-0.8468598127365112,-0.4077416658401489,0.7107227444648743
NONO,-1.8643519878387451,-1.1991395950317383,-2.194891929626465,-0.12519265711307526,-0.023830264806747437,-0.8234571218490601,-3.562598943710327,-1.6130577325820923,-1.694700002670288,-1.1435432434082031,-0.8334958553314209,-0.46315670013427734
SNRNP200,-2.3541419506073,-1.5058672428131104,-0.0017376244068145752,-0.027378976345062256,-0.8436897993087769,-0.3940580189228058,-3.197178602218628,-2.5994365215301514,-1.4473999738693237,-1.1374894380569458,0.09437790513038635,-0.6423285603523254
RHOA,-6.891432762145996,-3.216801166534424,-1.210170865058899,0.7741138339042664,-0.012836329638957977,-0.406096875667572,-10,-4.05992317199707,-1.2455499172210693,0.15935169160366058,-0.21545466780662537,-0.27689555287361145
RNPS1,-3.3966898918151855,1.5511407852172852,-0.83901047706604,0.004808142781257629,0.4732205867767334,0.9589288234710693,-5.207196235656738,-0.7959731817245483,-0.5149999856948853,1.6424180269241333,0.28133612871170044,-0.2850966453552246
RPS24,-1.6563849449157715,-0.004073619842529297,-0.0807177722454071,-0.12622010707855225,-0.24711062014102936,-0.018145829439163208,-1.8269641399383545,0.8238295316696167,0.3288000226020813,-0.25080132484436035,0.27851617336273193,-0.09763265401124954
RPL30,-1.5707677602767944,-0.04311192035675049,-0.2790270447731018,-0.013226985931396484,-0.11954988539218903,-0.1967364400625229,-2.037822723388672,0.22055986523628235,-0.2430499941110611,-0.3982274532318115,-0.23526954650878906,-0.13293737173080444
HSP90AB1,0.2825694680213928,2.4474542140960693,1.94376802444458,-0.6178233623504639,0.34969040751457214,0.3706868886947632,1.5018541812896729,3.369027614593506,1.0501999855041504,0.8486872315406799,0.21012772619724274,-0.15846392512321472
ARF1,-2.159682273864746,-1.8059628009796143,-0.499111533164978,0.22296404838562012,-0.045249223709106445,-0.1861930638551712,-4.674631118774414,-1.4591705799102783,0.7899999618530273,0.5593113899230957,0.4289875030517578,-0.22181139886379242
IK,-2.0482537746429443,-1.2749282121658325,0.596958577632904,0.436801552772522,-1.219160556793213,-0.9389789700508118,-3.973898410797119,-1.0426949262619019,-0.3578999936580658,-0.4732750654220581,-0.02015763521194458,0.21949021518230438
SNX3,0.9653478264808655,1.2913892269134521,0.605768084526062,-0.8312148451805115,0.4800852835178375,0.47360187768936157,-0.45188307762145996,0.9025585651397705,1.4484000205993652,0.7680823802947998,0.012469828128814697,-0.23388482630252838
CNPPD1,0.7069455981254578,0.24380339682102203,-0.4608671963214874,-0.6483997702598572,0.19676698744297028,-0.49756699800491333,-0.14981326460838318,0.5203006863594055,0.07654999941587448,-0.13343237340450287,-0.34728720784187317,-0.2169477939605713
SMNDC1,2.531189203262329,0.09301900863647461,0.06916841864585876,0.569711446762085,0.3053293526172638,0.9060719013214111,2.3871278762817383,0.8466185331344604,-0.7610999941825867,0.25880157947540283,1.1488986015319824,0.3773905634880066
HNRNPM,-1.2249770164489746,-0.6931533217430115,0.0049742162227630615,0.6437355875968933,-0.055151790380477905,0.24645158648490906,-2.2195515632629395,-0.721792459487915,-0.7940000295639038,0.4455414414405823,-0.3924011290073395,0.0716153010725975
RPL14,-2.4631004333496094,-0.1857459843158722,-1.5422606468200684,-0.5219689011573792,0.20016147196292877,0.24849531054496765,-1.740203857421875,-0.23266425728797913,-0.321399986743927,0.40600571036338806,-0.007464185357093811,-0.022115841507911682
GUK1,2.9062366485595703,1.3383464813232422,-0.38700157403945923,0.21762053668498993,0.460941344499588,-0.4821527302265167,1.5758371353149414,2.0189096927642822,-0.20319999754428864,-0.8507907390594482,-0.48409587144851685,0.32304224371910095
KXD1,2.3285675048828125,1.038938045501709,0.721919596195221,-0.3160570561885834,0.4867692291736603,-0.4828503727912903,2.284285545349121,1.7696988582611084,1.2971999645233154,0.008856665343046188,0.04977510869503021,0.4830559492111206
ATP6V0B,-5.111679553985596,0.11748066544532776,1.9303615093231201,1.2001404762268066,0.7462608814239502,-0.28923070430755615,-5.085476875305176,1.32558012008667,2.8158998489379883,0.46043965220451355,0.3714071810245514,-0.03340165317058563
RPS6,-2.59834885597229,0.8195945024490356,1.047286868095398,-0.20974305272102356,0.049758121371269226,1.0917011499404907,-0.5272568464279175,1.1608071327209473,0.6813499927520752,0.06463062763214111,0.4902956187725067,0.2742745280265808
USP22,-4.228527069091797,-2.8535730838775635,-1.1762440204620361,-0.11384056508541107,-0.33163982629776,-1.0831953287124634,-7.861999034881592,-4.743342399597168,-3.8224000930786133,-1.1177855730056763,-0.03688734769821167,-0.976550817489624
TCEB2,0.05499488115310669,-0.13782724738121033,1.1620320081710815,-0.5028629899024963,0.3657803535461426,-0.5170071125030518,-0.7574174404144287,-0.08735644817352295,-0.894599974155426,-0.21879489719867706,-0.06814521551132202,0.5467926263809204
COX4I1,-0.5534667372703552,0.22472664713859558,-1.0270756483078003,-0.5209357738494873,-0.06493982672691345,0.45673465728759766,-1.607926607131958,-0.11822705715894699,0.26485002040863037,-0.16894523799419403,-0.7994653582572937,0.5474243760108948
TMED2,-2.103140354156494,-1.8916569948196411,-0.42083752155303955,0.8634945154190063,0.7882568836212158,0.793420135974884,-3.2345221042633057,-2.5661568641662598,0.0815500020980835,0.4903768002986908,1.2059863805770874,-0.32007306814193726
FNTA,-2.5510969161987305,-0.9230437874794006,0.8548016548156738,-0.9014674425125122,-0.03813956677913666,-0.4808036684989929,-1.7109661102294922,-1.5617166757583618,0.5308499932289124,-0.8471525311470032,-0.42774611711502075,0.22824227809906006
RPS25,-0.9239962100982666,-0.226637601852417,-0.6882304549217224,-0.45330342650413513,0.23231446743011475,0.13739681243896484,-1.5403356552124023,-0.4920102059841156,-0.8131999969482422,-0.7006653547286987,-0.4433754086494446,-0.5847350358963013
RPL37,-1.5144569873809814,-0.13855108618736267,0.3337068259716034,0.46790745854377747,-0.07677364349365234,0.06455672532320023,-2.8690576553344727,-0.26277297735214233,0.18234999477863312,-0.4994494318962097,-0.0368441641330719,-0.5591337084770203
EEF2,0.5864840745925903,0.38728976249694824,-0.12546151876449585,-0.3494780361652374,-0.5628413558006287,0.7471925020217896,0.7171128392219543,0.3787854313850403,-0.43834996223449707,0.2854342758655548,-0.30196329951286316,-0.0760764479637146
HNRNPK,-1.444779634475708,-0.5701693296432495,-0.9741166830062866,0.9083759784698486,0.27683889865875244,-0.3647204041481018,-2.9118101596832275,-1.5834758281707764,-2.0893499851226807,0.16194838285446167,-0.010532647371292114,0.011182039976119995
ANAPC5,-2.8510658740997314,-2.390592098236084,-1.485138177871704,0.36286497116088867,0.09588906168937683,0.49130573868751526,-4.4475932121276855,-3.0690650939941406,-0.661549985408783,0.09544438123703003,0.5550227165222168,-0.15825127065181732
RPS3A,-1.1721539497375488,-0.5015519857406616,0.13170288503170013,0.31472551822662354,0.34003376960754395,0.5994002819061279,-1.4958393573760986,0.0851503312587738,0.6332499980926514,-0.24591046571731567,-0.20473778247833252,0.10302649438381195
HNRNPU,-2.8896806240081787,-1.6458187103271484,0.46932849287986755,1.2841944694519043,0.5079633593559265,0.011588585563004017,-6.1221747398376465,-2.7583861351013184,-0.5618000030517578,0.3909541070461273,0.0555778443813324,-0.8753570318222046
EIF3A,-0.5162801146507263,-0.23695459961891174,0.3342573046684265,0.2581562399864197,-0.5162847638130188,0.6308400630950928,-1.0030025243759155,-0.7884554862976074,1.2126500606536865,0.2729359269142151,-0.35093486309051514,0.8251143097877502
HSP90B1,-3.517744779586792,-0.4343090057373047,-0.8311272859573364,0.6622860431671143,0.2835879921913147,-0.15940335392951965,-3.9918601512908936,-1.4717820882797241,-0.39685001969337463,0.9823808670043945,0.05850100517272949,0.4133055508136749
MSN,-5.087366104125977,-3.276557683944702,-3.0886611938476562,0.07262879610061646,0.14345012605190277,-1.3646018505096436,-10,-4.685080051422119,0,-0.7195340394973755,0,0
ACTN4,-2.831446647644043,-1.81268310546875,-1.246079921722412,-0.48743629455566406,0.14367510378360748,-0.6405948996543884,-2.957211494445801,-3.0287327766418457,-2.8375000953674316,-1.0922542810440063,0.22928091883659363,-0.13090500235557556
