rxn	rxn_name	gene	equation	pathway
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	Aoc1	13DAMPPOX: 13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c	beta-Alanine metabolism
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	Aoc2	13DAMPPOX: 13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c	beta-Alanine metabolism
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	Aoc3	13DAMPPOX: 13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c	beta-Alanine metabolism
24_25VITD2Hm	24R-Vitamin D-25-hydroxylase (D2)	Cyp24a1	24_25VITD2Hm: 25hvitd2_m + h_m + nadph_m + o2_m --> 2425dhvitd2_m + h2o_m + nadp_m	Vitamin D
24_25VITD3Hm	24R-Vitamin D-25-hydroxylase (D3)	Cyp24a1	24_25VITD3Hm: 25hvitd3_m + h_m + nadph_m + o2_m --> 2425dhvitd3_m + h2o_m + nadp_m	Vitamin D
25VITD2Hm	1-alpha-Vitamin D-25-hydroxylase (D2)	Cyp27b1	25VITD2Hm: 25hvitd2_m + h_m + nadph_m + o2_m --> 1a25dhvitd2_m + h2o_m + nadp_m	Vitamin D
25VITD3Hm	1-alpha-Vitamin D-25-hydroxylase (D3)	Cyp27b1	25VITD3Hm: 25hvitd3_m + h_m + nadph_m + o2_m --> 1a25dhvitd3_m + h2o_m + nadp_m	Vitamin D
2AMADPTm	L-2-aminoadipate shuttle (cytosol/mitochondria)	Slc25a21	2AMADPTm: L2aadp_c + akg_m <=> L2aadp_m + akg_c	Lysine Metabolism
2HBt2	2 hydroxybutyrate cotransport with proton	Slc16a1	2HBt2: 2hb_e + h_e <=> 2hb_c + h_c	Transport, Extracellular
2HBt2	2 hydroxybutyrate cotransport with proton	Slc16a3	2HBt2: 2hb_e + h_e <=> 2hb_c + h_c	Transport, Extracellular
2HBt2	2 hydroxybutyrate cotransport with proton	Slc16a7	2HBt2: 2hb_e + h_e <=> 2hb_c + h_c	Transport, Extracellular
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	Dld	2OXOADOXm: 2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + nadh_m	Lysine Metabolism
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	Dlst	2OXOADOXm: 2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + nadh_m	Lysine Metabolism
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	Ogdh	2OXOADOXm: 2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + nadh_m	Lysine Metabolism
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	Pdhx	2OXOADOXm: 2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + nadh_m	Lysine Metabolism
2OXOADPTm	2-oxoadipate shuttle (cytosol/mitochondria)	Slc25a21	2OXOADPTm: 2oxoadp_c + akg_m <=> 2oxoadp_m + akg_c	Tryptophan metabolism
34DHPHAMT	3,4-Dihydroxyphenylacetate:amet O-methyltransferase	Comt	34DHPHAMT: 34dhpha_c + amet_c --> ahcys_c + h_c + homoval_c	Tyrosine metabolism
34DHALDD	Aldehyde dehydrogenase  3 4 dihydroxyphenylacetaldehyde  NAD	Aldh1a3	34DHALDD: 34dhpac_c + h2o_c + nad_c --> 34dhpha_c + 2.0 h_c + nadh_c	Tyrosine metabolism
34DHALDD	Aldehyde dehydrogenase  3 4 dihydroxyphenylacetaldehyde  NAD	Aldh3a1	34DHALDD: 34dhpac_c + h2o_c + nad_c --> 34dhpha_c + 2.0 h_c + nadh_c	Tyrosine metabolism
34DHALDD	Aldehyde dehydrogenase  3 4 dihydroxyphenylacetaldehyde  NAD	Aldh3b1	34DHALDD: 34dhpac_c + h2o_c + nad_c --> 34dhpha_c + 2.0 h_c + nadh_c	Tyrosine metabolism
34DHALDD	Aldehyde dehydrogenase  3 4 dihydroxyphenylacetaldehyde  NAD	Aldh3b2	34DHALDD: 34dhpac_c + h2o_c + nad_c --> 34dhpha_c + 2.0 h_c + nadh_c	Tyrosine metabolism
34DHPLACOX_NADP	34DHPLACOX LPAREN NADP RPAREN	Aldh3a1	34DHPLACOX_NADP: 34dhpac_c + h2o_c + nadp_c <=> 34dhpha_c + 2.0 h_c + nadph_c	Tyrosine metabolism
34DHPLACOX_NADP	34DHPLACOX LPAREN NADP RPAREN	Aldh3b1	34DHPLACOX_NADP: 34dhpac_c + h2o_c + nadp_c <=> 34dhpha_c + 2.0 h_c + nadph_c	Tyrosine metabolism
34DHPLACOX_NADP	34DHPLACOX LPAREN NADP RPAREN	Aldh3b2	34DHPLACOX_NADP: 34dhpac_c + h2o_c + nadp_c <=> 34dhpha_c + 2.0 h_c + nadph_c	Tyrosine metabolism
34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	Aldh1a3	34DHXMANDACOX: 34dhmald_c + h2o_c + nad_c --> 34dhoxmand_c + 2.0 h_c + nadh_c	Tyrosine metabolism
34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	Aldh3a1	34DHXMANDACOX: 34dhmald_c + h2o_c + nad_c --> 34dhoxmand_c + 2.0 h_c + nadh_c	Tyrosine metabolism
34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	Aldh3b1	34DHXMANDACOX: 34dhmald_c + h2o_c + nad_c --> 34dhoxmand_c + 2.0 h_c + nadh_c	Tyrosine metabolism
34DHXMANDACOX_NADP	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	Aldh3b1	34DHXMANDACOX_NADP: 34dhmald_c + h2o_c + nadp_c <=> 34dhoxmand_c + 2.0 h_c + nadph_c	Tyrosine metabolism
34DHXMANDACOX_NADP	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	Aldh3b2	34DHXMANDACOX_NADP: 34dhmald_c + h2o_c + nadp_c <=> 34dhoxmand_c + 2.0 h_c + nadph_c	Tyrosine metabolism
34HPPOR	4 Hydroxyphenylpyruvateoxygen oxidoreductase	Hpd	34HPPOR: 34hpp_c + o2_c --> co2_c + hgentis_c	Tyrosine metabolism
3AIBTm	L-3-aminoisobutyrate transaminase, mitochondrial	Abat	3AIBTm: 2mop_m + glu__L_m <=> 3aib_m + akg_m	Valine, Leucine, and Isoleucine Metabolism
3DSPHR	3 Dehydrosphinganine reductase	Kdsr	3DSPHR: 3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c	Sphingolipid Metabolism
3HAO	3 hydroxyanthranilate 3 4 dioxygenase	Haao	3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c	Tryptophan metabolism
3HBCDm	3-hydroxybutyryl-CoA dehydratase, mitochondrial	Echdc2	3HBCDm: b2coa_m + h2o_m <=> 3hbcoa__R_m	Butanoate Metabolism
3HKYNAKGAT	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	Aadat	3HKYNAKGAT: akg_c + hLkynr_c --> 42A3HP24DB_c + glu__L_c	Tryptophan metabolism
3HKYNAKGAT	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	Kyat1	3HKYNAKGAT: akg_c + hLkynr_c --> 42A3HP24DB_c + glu__L_c	Tryptophan metabolism
3HLYTCL	3-Hydroxy-L-tyrosine carboxy-lyase	Ddc	3HLYTCL: 34dhphe_c + h_c --> co2_c + dopa_c	Tyrosine metabolism
3HPCOAHYD	3-hydroxyisobutyryl-CoA hydrolase	Hibch	3HPCOAHYD: 3hpcoa_c + h2o_c --> 3hpp_c + coa_c + h_c	beta-Alanine metabolism
3HXKYNDCL	3-Hydroxykynurenamine decarboxy-lyase	Ddc	3HXKYNDCL: hLkynr_c + h_c --> 3hxkynam_c + co2_c	Tryptophan metabolism
3HXKYNOXDA	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Maoa	3HXKYNOXDA: 3hxkynam_c + o2_c --> 48dhoxquin_c + h2o2_c + nh4_c	Tryptophan metabolism
3HXKYNOXDA	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Maob	3HXKYNOXDA: 3hxkynam_c + o2_c --> 48dhoxquin_c + h2o2_c + nh4_c	Tryptophan metabolism
3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	Aldh1a3	3M4HDXPAC: 3mox4hpac_c + h2o_c + nad_c <=> 2.0 h_c + homoval_c + nadh_c	Tyrosine metabolism
3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	Aldh3a1	3M4HDXPAC: 3mox4hpac_c + h2o_c + nad_c <=> 2.0 h_c + homoval_c + nadh_c	Tyrosine metabolism
3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	Aldh3b1	3M4HDXPAC: 3mox4hpac_c + h2o_c + nad_c <=> 2.0 h_c + homoval_c + nadh_c	Tyrosine metabolism
3M4HDXPAC	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	Aldh3b2	3M4HDXPAC: 3mox4hpac_c + h2o_c + nad_c <=> 2.0 h_c + homoval_c + nadh_c	Tyrosine metabolism
3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	Aldh1a3	3MOX4HOXPGALDOX: 3m4hpga_c + h2o_c + nad_c --> 3mox4hoxm_c + 2.0 h_c + nadh_c	Tyrosine metabolism
3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	Aldh3a1	3MOX4HOXPGALDOX: 3m4hpga_c + h2o_c + nad_c --> 3mox4hoxm_c + 2.0 h_c + nadh_c	Tyrosine metabolism
3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	Aldh3b1	3MOX4HOXPGALDOX: 3m4hpga_c + h2o_c + nad_c --> 3mox4hoxm_c + 2.0 h_c + nadh_c	Tyrosine metabolism
3MOX4HOXPGALDOX	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	Aldh3b2	3MOX4HOXPGALDOX: 3m4hpga_c + h2o_c + nad_c --> 3mox4hoxm_c + 2.0 h_c + nadh_c	Tyrosine metabolism
3MOX4HOXPGALDOX_NADP	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	Aldh1a3	3MOX4HOXPGALDOX_NADP: 3m4hpga_c + h2o_c + nadp_c <=> 3mox4hoxm_c + 2.0 h_c + nadph_c	Tyrosine metabolism
3MOX4HOXPGALDOX_NADP	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	Aldh3a1	3MOX4HOXPGALDOX_NADP: 3m4hpga_c + h2o_c + nadp_c <=> 3mox4hoxm_c + 2.0 h_c + nadph_c	Tyrosine metabolism
3MOX4HOXPGALDOX_NADP	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	Aldh3b1	3MOX4HOXPGALDOX_NADP: 3m4hpga_c + h2o_c + nadp_c <=> 3mox4hoxm_c + 2.0 h_c + nadph_c	Tyrosine metabolism
3MOX4HOXPGALDOX_NADP	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	Aldh3b2	3MOX4HOXPGALDOX_NADP: 3m4hpga_c + h2o_c + nadp_c <=> 3mox4hoxm_c + 2.0 h_c + nadph_c	Tyrosine metabolism
3MOXTYROX	3-Methoxytyramine:oxygen oxidoreductase (deaminating)	Maoa	3MOXTYROX: 3moxtyr_c + h2o_c + o2_c --> 3mox4hpac_c + h2o2_c + nh4_c	Tyrosine metabolism
3MOXTYROX	3-Methoxytyramine:oxygen oxidoreductase (deaminating)	Maob	3MOXTYROX: 3moxtyr_c + h2o_c + o2_c --> 3mox4hpac_c + h2o2_c + nh4_c	Tyrosine metabolism
3NTD7l	3'-nucleotidase (AMP), lysosome	Acp2	3NTD7l: 3amp_l + h2o_l --> adn_l + pi_l	Nucleic acid degradation
3SALAASPm	Cysteinesulfinate-aspartate mitochondrial shuttle	Slc25a12	3SALAASPm: 3sala_m + asp__L_c <=> 3sala_c + asp__L_m	Transport, Mitochondrial
3SALAASPm	Cysteinesulfinate-aspartate mitochondrial shuttle	Slc25a13	3SALAASPm: 3sala_m + asp__L_c <=> 3sala_c + asp__L_m	Transport, Mitochondrial
3SALACBOXL	3-Sulfino-L-alanine carboxy-lyase	Csad	3SALACBOXL: 3sala_c + h_c --> co2_c + hyptaur_c	Taurine and hypotaurine metabolism
3SALACBOXL	3-Sulfino-L-alanine carboxy-lyase	Gad1	3SALACBOXL: 3sala_c + h_c --> co2_c + hyptaur_c	Taurine and hypotaurine metabolism
3SALACBOXL	3-Sulfino-L-alanine carboxy-lyase	Gad2	3SALACBOXL: 3sala_c + h_c --> co2_c + hyptaur_c	Taurine and hypotaurine metabolism
3SALATAi	3-sulfino-alanine transaminase (irreversible)	Got1	3SALATAi: 3sala_c + akg_c + h_c --> 3snpyr_c + glu__L_c	Cysteine Metabolism
3SALATAim	3-sulfino-alanine transaminase (irreversible), mitochondrial	Got2	3SALATAim: 3sala_m + akg_m + h_m --> 3snpyr_m + glu__L_m	Cysteine Metabolism
41R1H2MAE12BOOX	4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Maoa	41R1H2MAE12BOOX: adrnl_c + h2o_c + o2_c --> 34dhmald_c + h2o2_c + mma_c	Tyrosine metabolism
41R1H2MAE12BOOX	4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Maob	41R1H2MAE12BOOX: adrnl_c + h2o_c + o2_c --> 34dhmald_c + h2o2_c + mma_c	Tyrosine metabolism
41R2A1H12BOOX	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Maoa	41R2A1H12BOOX: h2o_c + nrpphr_c + o2_c --> 34dhmald_c + h2o2_c + nh4_c	Tyrosine metabolism
41R2A1H12BOOX	4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Maob	41R2A1H12BOOX: h2o_c + nrpphr_c + o2_c --> 34dhmald_c + h2o2_c + nh4_c	Tyrosine metabolism
42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Aoc1	42A12BOOX: dopa_c + h2o_c + o2_c --> 34dhpac_c + h2o2_c + nh4_c	Tyrosine metabolism
42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Aoc2	42A12BOOX: dopa_c + h2o_c + o2_c --> 34dhpac_c + h2o2_c + nh4_c	Tyrosine metabolism
42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Aoc3	42A12BOOX: dopa_c + h2o_c + o2_c --> 34dhpac_c + h2o2_c + nh4_c	Tyrosine metabolism
42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Maoa	42A12BOOX: dopa_c + h2o_c + o2_c --> 34dhpac_c + h2o2_c + nh4_c	Tyrosine metabolism
42A12BOOX	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Maob	42A12BOOX: dopa_c + h2o_c + o2_c --> 34dhpac_c + h2o2_c + nh4_c	Tyrosine metabolism
4HGLSDm	L 4 hydroxyglutamate semialdehyde dehydrogenase  mitochondrial	Aldh4a1	4HGLSDm: 4hglusa_m + h2o_m + nad_m <=> e4hglu_m + 2.0 h_m + nadh_m	Arginine and Proline Metabolism
4HOXPACDOX_NADP	4HOXPACDOX LPAREN NADP RPAREN	Aldh1a3	4HOXPACDOX_NADP: 4hoxpacd_c + h2o_c + nadp_c <=> 4hphac_c + 2.0 h_c + nadph_c	Tyrosine metabolism
4HOXPACDOX_NADP	4HOXPACDOX LPAREN NADP RPAREN	Aldh3a1	4HOXPACDOX_NADP: 4hoxpacd_c + h2o_c + nadp_c <=> 4hphac_c + 2.0 h_c + nadph_c	Tyrosine metabolism
4HOXPACDOX_NADP	4HOXPACDOX LPAREN NADP RPAREN	Aldh3b1	4HOXPACDOX_NADP: 4hoxpacd_c + h2o_c + nadp_c <=> 4hphac_c + 2.0 h_c + nadph_c	Tyrosine metabolism
4HOXPACDOX_NADP	4HOXPACDOX LPAREN NADP RPAREN	Aldh3b2	4HOXPACDOX_NADP: 4hoxpacd_c + h2o_c + nadp_c <=> 4hphac_c + 2.0 h_c + nadph_c	Tyrosine metabolism
5ADTSTSTERONEGLCte	Glucuronidated compound transport	Abcc1	5ADTSTSTERONEGLCte: 5adtststeroneglc_c + atp_c + h2o_c --> 5adtststeroneglc_e + adp_c + h_c + pi_c	Transport, Extracellular
5ADTSTSTERONESULT	5alpha-Dihydrotestosterone sulfotransferase	Sult2a1	5ADTSTSTERONESULT: 5adtststerone_c + paps_c --> 5adtststerones_c + h_c + pap_c	Steroid Metabolism
5FTHFt2	5-formyltetrahydrofolate transport via anion exchange	Slc19a1	5FTHFt2: 5fthf_e + oh1_c <=> 5fthf_c + oh1_e	Transport, Extracellular
5HLTDL	5-Hydroxy-L-tryptophan decarboxy-lyase	Ddc	5HLTDL: 5htrp_c + h_c --> co2_c + srtn_c	Tryptophan metabolism
5HOXINDACTO2OX	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase	Aox1	5HOXINDACTO2OX: 5hoxindact_c + h2o_c + o2_c --> 5hoxindoa_c + h2o2_c + h_c	Tryptophan metabolism
5HOXINDACTOX	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase	Aldh1a1	5HOXINDACTOX: 5hoxindact_c + h2o_c + nad_c --> 5hoxindoa_c + 2.0 h_c + nadh_c	Tryptophan metabolism
5HOXINDACTOX	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase	Aldh1a2	5HOXINDACTOX: 5hoxindact_c + h2o_c + nad_c --> 5hoxindoa_c + 2.0 h_c + nadh_c	Tryptophan metabolism
5HOXINDACTOX	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase	Aldh3a2	5HOXINDACTOX: 5hoxindact_c + h2o_c + nad_c --> 5hoxindoa_c + 2.0 h_c + nadh_c	Tryptophan metabolism
5HOXINDACTOX	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase	Aldh7a1	5HOXINDACTOX: 5hoxindact_c + h2o_c + nad_c --> 5hoxindoa_c + 2.0 h_c + nadh_c	Tryptophan metabolism
5HOXINDACTOX	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase	Aldh9a1	5HOXINDACTOX: 5hoxindact_c + h2o_c + nad_c --> 5hoxindoa_c + 2.0 h_c + nadh_c	Tryptophan metabolism
5HOXINDACTOXm	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)	Aldh1b1	5HOXINDACTOXm: 5hoxindact_m + h2o_m + nad_m --> 5hoxindoa_m + 2.0 h_m + nadh_m	Tryptophan metabolism
5HOXINDACTOXm	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)	Aldh2	5HOXINDACTOXm: 5hoxindact_m + h2o_m + nad_m --> 5hoxindoa_m + 2.0 h_m + nadh_m	Tryptophan metabolism
5HOXINDACTOXm	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito)	Aldh4a1	5HOXINDACTOXm: 5hoxindact_m + h2o_m + nad_m --> 5hoxindoa_m + 2.0 h_m + nadh_m	Tryptophan metabolism
5HOXINOXDA	5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Maoa	5HOXINOXDA: h2o_c + o2_c + srtn_c --> 5hoxindact_c + h2o2_c + nh4_c	Tryptophan metabolism
5HOXINOXDA	5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Maob	5HOXINOXDA: h2o_c + o2_c + srtn_c --> 5hoxindact_c + h2o2_c + nh4_c	Tryptophan metabolism
5HTRPDOX	5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)	Ido1	5HTRPDOX: 5htrp_c + o2_c --> 5hoxnfkyn_c	Tryptophan metabolism
5HTRPVESSEC	5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)	Slc18a1	5HTRPVESSEC: 3.0 5htrp_c + 2.0 atp_c + 2.0 h2o_c --> 3.0 5htrp_e + 2.0 adp_c + 2.0 h_c + 2.0 pi_c	Transport, Extracellular
5HTRPVESSEC	5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)	Slc18a2	5HTRPVESSEC: 3.0 5htrp_c + 2.0 atp_c + 2.0 h2o_c --> 3.0 5htrp_e + 2.0 adp_c + 2.0 h_c + 2.0 pi_c	Transport, Extracellular
5HXKYNDCL	5-Hydroxykynurenamine decarboxy-lyase	Ddc	5HXKYNDCL: 5hxkyn_c + h_c --> 5hxkynam_c + co2_c	Tryptophan metabolism
5HXKYNOXDA	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Maoa	5HXKYNOXDA: 5hxkynam_c + o2_c --> 46dhoxquin_c + h2o2_c + nh4_c	Tryptophan metabolism
5HXKYNOXDA	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)	Maob	5HXKYNOXDA: 5hxkynam_c + o2_c --> 46dhoxquin_c + h2o2_c + nh4_c	Tryptophan metabolism
5MTHFt2	5-methyltetrahydrofolate transport via anion exchange	Slc19a1	5MTHFt2: 5mthf_e + oh1_c <=> 5mthf_c + oh1_e	Transport, Extracellular
A4GALTc	Lactosylceramide 4-alpha-galactosyltransferase	A4galt	A4GALTc: galgluside_hs_c + udpgal_c --> h_c + thcrm_hs_c + udp_c	Sphingolipid Metabolism
A4GALTg	Lactosylceramide 4-alpha-galactosyltransferase	A4galt	A4GALTg: galgluside_hs_g + udpgal_g --> h_g + thcrm_hs_g + udp_g	Sphingolipid Metabolism
A4GNT1g	Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus	A4gnt	A4GNT1g: T_antigen_g + uacgam_g --> gncore1_g + h_g + udp_g	O-Glycan Biosynthesis
A4GNT2g	Alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus	A4gnt	A4GNT2g: core2_g + uacgam_g --> gncore2_g + h_g + udp_g	O-Glycan Biosynthesis
AACOAT	Acetoacetyl-CoA:acetate CoA-transferase	Aacs	AACOAT: acac_c + atp_c + coa_c <=> aacoa_c + amp_c + ppi_c	Propanoate Metabolism
AACTOOR	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	Aoc3	AACTOOR: aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c	Glycine, Serine, and Threonine Metabolism
AATA	2 aminoadipate transaminase	Aadat	AATA: 2oxoadp_c + glu__L_c <-- L2aadp_c + akg_c	Lysine Metabolism
ABTArm	4-aminobutyrate transaminase, reversible (mitochondrial)	Abat	ABTArm: 4abut_m + akg_m <=> glu__L_m + sucsal_m	Glutamate metabolism
ABUTD	Aminobutyraldehyde dehydrogenase	Aldh9a1	ABUTD: 4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c	beta-Alanine metabolism
ABUTt2r	4 aminobutyrate reversible transport in via proton symport	Slc36a1	ABUTt2r: 4abut_e + h_e <=> 4abut_c + h_c	Transport, Extracellular
ABUTt2rL	4-aminobutyrate reversible transport in via proton symport (lysosome)	Slc36a1	ABUTt2rL: 4abut_l + h_l <=> 4abut_c + h_c	Transport, Lysosomal
ABUTt4_2_r	ABUTt4 LPAREN 2 RPAREN r	Slc6a1	ABUTt4_2_r: 4abut_e + 2.0 na1_e <=> 4abut_c + 2.0 na1_c	Transport, Extracellular
ABUTt4_2_r	ABUTt4 LPAREN 2 RPAREN r	Slc6a11	ABUTt4_2_r: 4abut_e + 2.0 na1_e <=> 4abut_c + 2.0 na1_c	Transport, Extracellular
ABUTt4_2_r	ABUTt4 LPAREN 2 RPAREN r	Slc6a12	ABUTt4_2_r: 4abut_e + 2.0 na1_e <=> 4abut_c + 2.0 na1_c	Transport, Extracellular
ABUTt4_2_r	ABUTt4 LPAREN 2 RPAREN r	Slc6a13	ABUTt4_2_r: 4abut_e + 2.0 na1_e <=> 4abut_c + 2.0 na1_c	Transport, Extracellular
ACACT1r_copy1	Acetyl-CoA C-acetyltransferase	Acat3	ACACT1r_copy1: 2.0 accoa_c --> aacoa_c + coa_c	Cholesterol Metabolism
ACACT10m	Acetyl-CoA C-acyltransferase	Acat1	ACACT10m: 2maacoa_m + coa_m <=> accoa_m + ppcoa_m	Valine, Leucine, and Isoleucine Metabolism
ACACT1r_copy2	Acetyl-CoA C-acetyltransferase	Acat3	ACACT1r_copy2: 2.0 accoa_c <=> aacoa_c + coa_c	Tryptophan metabolism
ACACT1m	Acetyl CoA C acetyltransferase  mitochondrial	Acat1	ACACT1m: 2.0 accoa_m <=> aacoa_m + coa_m	Tryptophan metabolism
ACACT1m	Acetyl CoA C acetyltransferase  mitochondrial	Hadha	ACACT1m: 2.0 accoa_m <=> aacoa_m + coa_m	Tryptophan metabolism
ACACT1m	Acetyl CoA C acetyltransferase  mitochondrial	Hadhb	ACACT1m: 2.0 accoa_m <=> aacoa_m + coa_m	Tryptophan metabolism
ACACT1x	Acetyl-CoA:acetyl-CoA C-acetyltransferase	Acat3	ACACT1x: 2.0 accoa_x --> aacoa_x + coa_x	Cholesterol Metabolism
ACACT4p	Acetyl CoA C acetyltransferase  octanoyl CoA   peroxisomal	Acaa1a	ACACT4p: 3odcoa_x + coa_x --> accoa_x + occoa_x	Fatty Acid Metabolism
ACACT5p	Acetyl CoA C acyltransferase  decanoyl CoA   peroxisomal	Acaa1a	ACACT5p: 3oddcoa_x + coa_x --> accoa_x + dcacoa_x	Fatty Acid Metabolism
ACACT6p	Acetyl CoA C acetyltransferase  dodecanoyl   peroxisomal	Acaa1a	ACACT6p: 3otdcoa_x + coa_x --> accoa_x + ddcacoa_x	Fatty Acid Metabolism
ACACT7p	Acetyl CoA acyltransferase  tetradecanoyl CoA   peroxisomal	Acaa1a	ACACT7p: 3ohdcoa_x + coa_x --> accoa_x + tdcoa_x	Fatty Acid Metabolism
ACACT8p	Acetyl CoA acyltransferase  hexadecanoyl CoA   peroxisomal	Acaa1a	ACACT8p: 3ohodcoa_x + coa_x --> accoa_x + pmtcoa_x	Fatty Acid Metabolism
ACACT9p	Acetyl CoA acyltransferase  tetracosanoyl CoA   peroxisomal	Acaa1a	ACACT9p: 3ohxccoa_x + coa_x --> accoa_x + ttccoa_x	Fatty Acid Metabolism
ACACt2	Acetoacetate transport via proton symport	Slc16a1	ACACt2: acac_e + h_e <=> acac_c + h_c	Transport, Extracellular
ACACt2	Acetoacetate transport via proton symport	Slc16a7	ACACt2: acac_e + h_e <=> acac_c + h_c	Transport, Extracellular
ACACt2m	Acetoacetate mitochondrial transport via H+ symport	Slc16a1	ACACt2m: acac_c + h_c <=> acac_m + h_m	Transport, Mitochondrial
ACCOAC	Acetyl-CoA carboxylase	Acaca	ACCOAC: accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c	Fatty Acid Metabolism
