rxn	rxn_name	gene	equation	pathway
PI34P5K	Phosphatidylinositol 3,4-bisphosphate 5-kinase	Pip5k1b	PI34P5K: atp_c + pail34p_hs_c --> adp_c + h_c + pail345p_hs_c	Inositol Phosphate Metabolism
PI34P5K	Phosphatidylinositol 3,4-bisphosphate 5-kinase	Pip5k1c	PI34P5K: atp_c + pail34p_hs_c --> adp_c + h_c + pail345p_hs_c	Inositol Phosphate Metabolism
PI35P3P	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase	Mtmr3	PI35P3P: h2o_c + pail35p_hs_c --> pail5p_hs_c + pi_c	Inositol Phosphate Metabolism
PI3P4K	Phosphatidylinositol 3-phosphate 4-kinase	Pi4k2a	PI3P4K: atp_c + pail3p_hs_c --> adp_c + h_c + pail34p_hs_c	Inositol Phosphate Metabolism
PI3P4K	Phosphatidylinositol 3-phosphate 4-kinase	Pi4ka	PI3P4K: atp_c + pail3p_hs_c --> adp_c + h_c + pail34p_hs_c	Inositol Phosphate Metabolism
PI3P4K	Phosphatidylinositol 3-phosphate 4-kinase	Pi4kb	PI3P4K: atp_c + pail3p_hs_c --> adp_c + h_c + pail34p_hs_c	Inositol Phosphate Metabolism
PI3P4K	Phosphatidylinositol 3-phosphate 4-kinase	Pip5k1a	PI3P4K: atp_c + pail3p_hs_c --> adp_c + h_c + pail34p_hs_c	Inositol Phosphate Metabolism
PI3P4K	Phosphatidylinositol 3-phosphate 4-kinase	Pip5k1b	PI3P4K: atp_c + pail3p_hs_c --> adp_c + h_c + pail34p_hs_c	Inositol Phosphate Metabolism
PI3P4K	Phosphatidylinositol 3-phosphate 4-kinase	Pip5k1c	PI3P4K: atp_c + pail3p_hs_c --> adp_c + h_c + pail34p_hs_c	Inositol Phosphate Metabolism
PI3P5K	Phosphatidylinositol 3-phosphate 5-kinase	Pip5k1a	PI3P5K: atp_c + pail3p_hs_c --> adp_c + h_c + pail35p_hs_c	Inositol Phosphate Metabolism
PI3P5K	Phosphatidylinositol 3-phosphate 5-kinase	Pip5k1b	PI3P5K: atp_c + pail3p_hs_c --> adp_c + h_c + pail35p_hs_c	Inositol Phosphate Metabolism
PI3P5K	Phosphatidylinositol 3-phosphate 5-kinase	Pip5k1c	PI3P5K: atp_c + pail3p_hs_c --> adp_c + h_c + pail35p_hs_c	Inositol Phosphate Metabolism
